Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Precio por defecto,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Master burger],Precio [Master burger],En inventario [Master burger],Existencias bajas [Master burger],"modificador - ""Extras""","modificador - ""Queso""","modificador - ""Bebidas""","modificador - ""Descuento""","modificador - ""Promos""","modificador - ""Hamburguesas""","modificador - ""Cervezas""","modificador - ""Chilaquiles""","modificador - ""extras combo""","modificador - ""alas kilos""","modificador - ""charolas especiales""","modificador - ""bubbles""","modificador - ""Jarabe""","modificador - ""miches""","modificador - ""als y bon""","modificador - ""CREPAS""","modificador - ""EXTRA ANGUS""","modificador - ""papas promo""","modificador - ""Extras almuerzos""","modificador - ""ACOMPAÑANTES""","modificador - ""POSTRES""","modificador - ""PROTEINAS CARNE""","modificador - ""PROTEINAS POLLO""","modificador - ""COSTILLAS"""
super-hamburguesas,10009,@SUPER HAMBURGUESAS,HAMBURGUESAS,,N,sabor,ARRACHERA HOUSE,,,,,135.00,0.00,,,,N,Y,135.00,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
super-hamburguesas,10016,,,,,,ATOMICA,,,,,185.00,0.00,,,,,Y,185.00,,,,,,,,,,,,,,,,,,,,,,,,,,
super-hamburguesas,10010,,,,,,BODEGON,,,,,145.00,0.00,,,,,Y,145.00,,,,,,,,,,,,,,,,,,,,,,,,,,
super-hamburguesas,10546,,,,,,Camaron,,,,,185.00,0.00,,,,,Y,185.00,,,,,,,,,,,,,,,,,,,,,,,,,,
super-hamburguesas,10007,,,,,,HAWAIANA,,,,,115.00,0.00,,,,,Y,115.00,,,,,,,,,,,,,,,,,,,,,,,,,,
super-hamburguesas,10012,,,,,,LA FRESA,,,,,145.00,0.00,,,,,Y,145.00,,,,,,,,,,,,,,,,,,,,,,,,,,
super-hamburguesas,10017,,,,,,TOLUQUEÑA,,,,,135.00,0.00,,,,,Y,135.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2-orden-ecnhiladas,10477,1/2 orden ecnhiladas,Almuerzos,,N,,,,,,,variable,30.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1/2-orden-papas-c-carne,10171,1/2 orden papas c carne,Especiales,,N,,,,,,,90.00,0.00,,,,N,Y,90.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1/2-papas,10247,1/2 papas,Extras,,N,,,,,,,30.00,0.00,,,,N,Y,30.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3-tacos-baja,10415,3 tacos baja,Tacos,,N,,,,,,,100.00,0.00,,,,N,N,100.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
aderezo-extra,10223,Aderezo extra,Alitas y Boneless,,N,,,,,,,15.00,0.00,,,,N,Y,15.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
