Fecha,Número de recibo,Tipo de recibo,Categoria,REF,Artículo,Variante,Modificadores aplicados,Cantidad,Ventas brutas,Descuentos,Ventas netas,Costo de los bienes,Beneficio bruto,Impuestos,Tipo de pedido,TPV,Tienda,Nombre del cajero,Nombre del cliente,Contactos del cliente,Comentario,Estado
8/5/2026 11:56 p. m.,18-9625,Venta,Especiales,10075,Papas gajo con arrachera,CHICA,,2.000,180.00,0.00,180.00,190.00,-10.00,0.00,Comer dentro,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:41 p. m.,18-9624,Venta,HAMBURGUESAS,10001,Burger res,$ 10 / $ 20,,3.000,210.00,0.00,210.00,135.00,75.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:41 p. m.,18-9624,Venta,Alitas y Boneless,10147,ALITAS,bbq,,3.000,315.00,0.00,315.00,144.00,171.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:41 p. m.,18-9624,Venta,Alitas y Boneless,10146,Papas a la francesa,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:41 p. m.,18-9624,Venta,Envios,10065,"Envío rincon, sifón,",,,1.000,25.00,0.00,25.00,0.00,25.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:41 p. m.,18-9623,Venta,Alitas y Boneless,10307,Alitas kg,,,1.000,220.00,0.00,220.00,72.00,148.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,"Bbq Hot y teriyaki ",Cerrado
8/5/2026 11:41 p. m.,18-9623,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:40 p. m.,18-9622,Venta,Alitas y Boneless,10307,Alitas kg,,,1.000,220.00,0.00,220.00,72.00,148.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,"Bbq y mango ",Cerrado
8/5/2026 11:40 p. m.,18-9622,Venta,HAMBURGUESAS,10005,LAS ANGUS,ANGUS 150GR,,3.000,315.00,0.00,315.00,0.00,315.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:40 p. m.,18-9622,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:40 p. m.,18-9621,Venta,HAMBURGUESAS,10009,@SUPER HAMBURGUESAS,ARRACHERA HOUSE,,1.000,135.00,0.00,135.00,0.00,135.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:40 p. m.,18-9620,Venta,Especiales,10074,Papas gajo con arrachera,GDE,,1.000,160.00,0.00,160.00,95.00,65.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:40 p. m.,18-9620,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:39 p. m.,18-9619,Venta,Alitas y Boneless,10170,ALITAS,combinadas,,1.000,110.00,0.00,110.00,48.00,62.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,Bbq y bbq Hot BIEN DORADAS,Cerrado
8/5/2026 11:39 p. m.,18-9619,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:39 p. m.,18-9619,Venta,HAMBURGUESAS,10001,Burger res,$ 10 / $ 20,,1.000,70.00,0.00,70.00,45.00,25.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,"Sin pepinillos, sin cebolla y sin lechuga ",Cerrado
8/5/2026 11:38 p. m.,18-9618,Venta,Especiales,10037,Orden. Arrachera,,,1.000,140.00,0.00,140.00,65.00,75.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,"Con tostadas ",Cerrado
8/5/2026 11:38 p. m.,18-9618,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:38 p. m.,18-9617,Venta,Especiales,10037,Orden. Arrachera,,,1.000,140.00,0.00,140.00,65.00,75.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:38 p. m.,18-9617,Venta,Refrescos,10089,COCA,600ML,,1.000,35.00,0.00,35.00,0.00,35.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:38 p. m.,18-9617,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:37 p. m.,18-9616,Venta,HAMBURGUESAS,10007,@SUPER HAMBURGUESAS,HAWAIANA,,1.000,115.00,0.00,115.00,0.00,115.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:37 p. m.,18-9616,Venta,Tacos,10269,Tacos,ARRACHERA,,1.000,35.00,0.00,35.00,18.00,17.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:37 p. m.,18-9616,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:37 p. m.,18-9616,Venta,Refrescos,10089,COCA,600ML,,1.000,35.00,0.00,35.00,0.00,35.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 11:36 p. m.,18-9615,Venta,Alitas y Boneless,10106,BONELESS,COMBINADOS,,1.000,110.00,0.00,110.00,48.00,62.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,"BBQ y mango ",Cerrado
8/5/2026 11:36 p. m.,18-9615,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:36 p. m.,18-9614,Venta,HAMBURGUESAS,10012,@SUPER HAMBURGUESAS,LA FRESA,,1.000,145.00,0.00,145.00,0.00,145.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:36 p. m.,18-9614,Venta,Burritos y Gringas,10015,Burritos,bisteck res,,1.000,145.00,0.00,145.00,60.00,85.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:36 p. m.,18-9614,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:36 p. m.,18-9614,Venta,Bebidas,10173,Agua sabor,horchata / 1L,,1.000,40.00,0.00,40.00,0.00,40.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 11:35 p. m.,18-9613,Venta,HAMBURGUESAS,10001,Burger res,$ 10 / $ 20,Tocino 65gr,2.000,180.00,0.00,180.00,90.00,90.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,"Sin jitomate y sin cebolla ",Cerrado
8/5/2026 11:35 p. m.,18-9613,Venta,Tacos,10036,Tacos,Bisteck,,1.000,35.00,0.00,35.00,0.00,35.00,0.00,A domicilio,TPV 5,Master burger,Meseros,,,"Picadito sin verdura ",Cerrado
